Source Row,OFFERING_ID,Duplicate Count,PARTNER,SHOW_TITLE,PROP_EP,MPM_LEVEL1_SERIES,MPM_LEVEL2_SEASON,MPM_LEVEL3_EPISODE,CONTROLLING_NETWORK,CFPS_SHOW_ID,CFPS_SEASON_ID,EPISODE_ID,EDIT_ID,PROGRAM_START_DATE,PROGRAM_END_DATE,FIRST_PROGRAM_LAUNCH_DATE,PROGRAM_ASSET_TYPE,ASSET_TITLE_IN_PLAYLIST,PLAYLIST_BRAND,OFFERING_ID,STATUS,EAST_FEED,WEST_FEED,PAVI_ID,WM_TITLES_EDIT_ID,WM_TITLES_TITLE_ID,LAST_UPDATED,MARKET_REGION,MARKET_TERRITORY
8011,01b20728-2809-4b0f-8f44-9ef2bcece898,2,Max,Euphoria,231236.000,,,,HBOTV,ef29f91d-511c-4646-abe6-532e98c5cd89,,5ac5785b-c0c6-4176-84c7-941e2e496509,e3f47cb3-952f-4be7-a96b-4eb539bf4966,2026-03-01 00:00:01.000,2099-12-31 23:59:00.000,2025-10-25 23:00:00.000,episode,Euphoria: Trouble Don't Last Always,HBOTV,01b20728-2809-4b0f-8f44-9ef2bcece898,UPDATE,2026-03-01 00:00:01.000,2026-02-28 21:00:01.000,PROD820911,2442196,,2026-06-26 15:02:19.757,US,US
21439,01b20728-2809-4b0f-8f44-9ef2bcece898,2,Max,Euphoria Special Episodes,231236.000,,,,HBOTV,0afbc4f2-c245-4b69-a61e-e42fe56e9cf3,9968de68-d48e-4ef2-bc6d-fd717e646957,5ac5785b-c0c6-4176-84c7-941e2e496509,e3f47cb3-952f-4be7-a96b-4eb539bf4966,2026-03-01 00:00:01.000,2099-12-31 23:59:00.000,2025-10-25 23:00:00.000,episode,Euphoria: Trouble Don't Last Always,HBOTV,01b20728-2809-4b0f-8f44-9ef2bcece898,UPDATE,2026-03-01 00:00:01.000,2026-02-28 21:00:01.000,PROD820911,2442196,,2026-06-26 15:02:19.757,US,US
4020,01f761b3-2f2d-4c5d-b2b0-8eb9635aceb0,2,Max,Taxicab Confessions: The City That Never Sleeps,256169.000,,,,HBOTV,ddb0dae4-a0ba-4e0d-80f3-5e77a76bcf15,,09015302-58f9-4d87-8849-ecf749594592,d2651181-e955-4c7d-a586-f891c2353183,2026-02-05 00:00:00.000,2026-03-25 23:59:59.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: The City That Never Sleeps Part 1,HBOTV,01f761b3-2f2d-4c5d-b2b0-8eb9635aceb0,UPDATE,2026-02-05 00:00:00.000,2026-02-04 21:00:00.000,PROD734224,,,2026-06-29 12:43:53.605,US,US
14718,01f761b3-2f2d-4c5d-b2b0-8eb9635aceb0,2,Max,Taxicab Confessions: The City That Never Sleeps,256169.000,,,,HBOTV,0d9796cc-6499-4965-beb8-24116ac05fb3,32a48f16-fd4a-4cad-b690-eebeb290f86d,09015302-58f9-4d87-8849-ecf749594592,d2651181-e955-4c7d-a586-f891c2353183,2026-02-05 00:00:00.000,2026-03-25 23:59:59.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: The City That Never Sleeps Part 1,HBOTV,01f761b3-2f2d-4c5d-b2b0-8eb9635aceb0,UPDATE,2026-02-05 00:00:00.000,2026-02-04 21:00:00.000,PROD734224,,,2026-06-29 12:43:53.605,US,US
13351,0412049f-9e37-426e-b030-2db1465f96bb,2,Max,Euphoria Special Episodes,231240.000,,,,HBOTV,0afbc4f2-c245-4b69-a61e-e42fe56e9cf3,9968de68-d48e-4ef2-bc6d-fd717e646957,6b4c9a9a-59c1-41ec-8063-db01a3b3c776,17980b2e-babc-4e91-ad0c-4c9ec1359429,2023-05-12 21:15:00.000,2101-01-01 04:59:00.000,2023-05-12 21:15:00.000,episode,Euphoria: F*ck Anyone Who's Not a Sea Blob,HBOTV,0412049f-9e37-426e-b030-2db1465f96bb,UPDATE,2023-05-12 21:15:00.000,2023-05-12 18:15:00.000,PROD821137,,,2026-06-09 17:22:23.509,US,US
14913,0412049f-9e37-426e-b030-2db1465f96bb,2,Max,Euphoria,231240.000,,,,HBOTV,ef29f91d-511c-4646-abe6-532e98c5cd89,,6b4c9a9a-59c1-41ec-8063-db01a3b3c776,17980b2e-babc-4e91-ad0c-4c9ec1359429,2023-05-12 21:15:00.000,2101-01-01 04:59:00.000,2023-05-12 21:15:00.000,episode,Euphoria: F*ck Anyone Who's Not a Sea Blob,HBOTV,0412049f-9e37-426e-b030-2db1465f96bb,UPDATE,2023-05-12 21:15:00.000,2023-05-12 18:15:00.000,PROD821137,,,2026-06-09 17:22:23.509,US,US
10323,05f923c9-f173-4f98-be10-8b85baa8d0c4,2,Max,Taxicab Confessions: America Undercover,277633.000,1048708,,,HBOTV,b3c5ae13-45d6-4aec-aa5d-e16fdb077080,,a83d0239-a423-4e38-9761-35c4e437b687,3eb42a43-bbd3-4bc0-a61a-7dc834529194,2026-02-05 00:00:00.000,2100-12-31 23:59:00.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: America Undercover Part 3,HBOTV,05f923c9-f173-4f98-be10-8b85baa8d0c4,UPDATE,2026-02-05 00:00:00.000,2026-02-04 21:00:00.000,PROD564593,,,2026-06-29 12:45:58.902,US,US
20927,05f923c9-f173-4f98-be10-8b85baa8d0c4,2,Max,Taxicab Confessions: America Undercover,277633.000,,,,HBOTV,b1bcc7c6-6cf5-4ba4-8413-6e68084ed032,42cc2514-90a3-4439-b73c-aa4da8338771,a83d0239-a423-4e38-9761-35c4e437b687,3eb42a43-bbd3-4bc0-a61a-7dc834529194,2026-02-05 00:00:00.000,2100-12-31 23:59:00.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: America Undercover Part 3,HBOTV,05f923c9-f173-4f98-be10-8b85baa8d0c4,UPDATE,2026-02-05 00:00:00.000,2026-02-04 21:00:00.000,PROD564593,,,2026-06-29 12:45:58.902,US,US
8020,07dc0b69-529f-45e3-9fad-a15597fefdf4,2,Max,Taxicab Confessions: America Undercover,256192.000,1048708,,,HBOTV,b3c5ae13-45d6-4aec-aa5d-e16fdb077080,,504d53a9-5916-4b9f-a5a6-d193d2a80786,521209ef-4da6-4032-a3ee-d0505ab8e8a8,2026-03-26 00:00:01.000,2100-12-31 23:59:00.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: America Undercover Part 4,HBOTV,07dc0b69-529f-45e3-9fad-a15597fefdf4,UPDATE,2026-03-26 00:00:01.000,2026-03-25 21:00:01.000,PROD574689,,,2026-06-29 12:45:58.160,US,US
16340,07dc0b69-529f-45e3-9fad-a15597fefdf4,2,Max,Taxicab Confessions: America Undercover,256192.000,,,,HBOTV,b1bcc7c6-6cf5-4ba4-8413-6e68084ed032,42cc2514-90a3-4439-b73c-aa4da8338771,504d53a9-5916-4b9f-a5a6-d193d2a80786,521209ef-4da6-4032-a3ee-d0505ab8e8a8,2026-03-26 00:00:01.000,2100-12-31 23:59:00.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: America Undercover Part 4,HBOTV,07dc0b69-529f-45e3-9fad-a15597fefdf4,UPDATE,2026-03-26 00:00:01.000,2026-03-25 21:00:01.000,PROD574689,,,2026-06-29 12:45:58.160,US,US
